airport_abbr,latitude,longitude
LATI
LOWG
LOWI
LOWK
LOWL
LOWS
LOWW
EBAW
EBBR
EBCI
EBLG
EBOS
LQSA
LQTZ
LBBG
LBSF
LBWN
LDDU
LDPL
LDSP
LDZD
LDZA
LCLK
LCPH
LKTB
LKPR
EKYT
EKAH
EKBI
EKCH
EKVG
EETN
EFHK
EFOU
EFRO
EFTP
EFTU
EFVA
LFKJ
LFKB
LFBE
LFBZ
LFBD
LFRB
LFKF
LFQQ
LFLL
LFML
LFMT
LFRS
LFMN
LFOB
LFPG
LFPO
LFST
LFRN
FMEE
LFTH
LFBO
EDJA
EDDB
EDDB
EDDT
EDDW
EDDK
EDLW
EDDC
EDDL
EDDF
EDFH
EDNY
EDDH
EDDV
EDSB
EDDP
EDDM
EDDG
EDDN
EDLP
EDDS
EDLV
LGAV
LGSA
LGKR
LGIR
LGKO
LGMK
LGRP
LGSR
LGTS
LGZA
LHBP
LHDC
BIKF
EICK
EIDW
EIKN
EIKY
EINN
LIEA
LIPY
LIBD
LIME
LIPE
LIBR
LIEE
LICC
LICB
LIRQ
LIMJ
LICA
LIML
LIMC
LIRN
LIEO
LICJ
LIRZ
LIBP
LIRP
LIRA
LIRF
LICT
LIPH
LIMF
LIPZ
LIPX
BKPR
EVRA
EYKA
EYVI
ELLX
LMML
LUKK
LYPG
LYTV
EHAM
EHEH
EHGG
EHBK
EHRD
LWSK
ENAL
ENBR
ENBO
ENHD
ENCN
ENGM
ENTO
ENZV
ENTC
ENVA
EPGD
EPKT
EPKK
EPPO
EPSC
EPWA
EPMO
EPWR
LPFR
LPPT
LPPD
LPPR
LROP
LRCL
LRIA
LRTR
URKK
UUDD
UUEE
UUWW
UUBW
UNNT
ULLI
URSS
LYBE
LYNI
LZIB
LZKZ
LJLJ
LEAL
LEAM
LEAS
LEBL
LEBB
LEGE
LEGR
LEIB
LEJR
LEMD
LEMG
LEMH
LEPA
LEMI
LERS
LEXJ
LEST
LEZL
LEVC
LEZG
ESGG
ESMS
ESSA
ESSB
ESKN
ESOW
LFSB
LSZB
LSGG
LSZH
LTAF
LTAC
LTAI
LTBS
LTFM
LTFJ
LTBJ
LTFE
LTCG
UKHH
UKBB
UKKK
UKLL
UKOO
EGPD
EGAC
EGAA
EGBB
EGGD
EGFF
EGCN
EGNX
EGPH
EGTE
EGPF
EGPK
EGNJ
EGJJ
EGNM
EGGP
EGLC
EGKK
EGLL
EGGW
EGMC
EGSS
EGCC
EGNT
EGHI
